what,kind,bundleId,bundleVersion,description,time
started,bundle,com.amazonaws.eclipse.ec2,1.1.0.v201206191243,"com.amazonaws.eclipse.ec2",1415253951318
os,sysinfo,,,"win32",1415253951318
arch,sysinfo,,,"x86",1415253951318
ws,sysinfo,,,"win32",1415253951318
locale,sysinfo,,,"en_US",1415253951318
processors,sysinfo,,,"4",1415253951318
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1415253951318
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1415253951318
java.specification.name,sysinfo,,,"Java Platform API Specification",1415253951318
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1415253951318
java.specification.version,sysinfo,,,"1.6",1415253951318
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1415253951318
java.version,sysinfo,,,"1.6.0_14",1415253951318
java.vm.info,sysinfo,,,"mixed mode",1415253951318
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1415253951318
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1415253951318
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1415253951318
java.vm.specification.version,sysinfo,,,"1.0",1415253951318
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1415253951318
java.vm.version,sysinfo,,,"14.0-b16",1415253951318
started,bundle,com.amazonaws.eclipse.core,2.0.1.v201206191243,"com.amazonaws.eclipse.core",1415253952702
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1415253952749
started,bundle,com.amazonaws.eclipse.elasticbeanstalk,1.0.0.v201206111543,"com.amazonaws.eclipse.elasticbeanstalk",1415253952764
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1415253952780
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415253956728
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1415253962566
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1415253962566
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1415253962582
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415253982357
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1415253984525
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1415253984525
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.5.1,"org.tigris.subversion.clientadapter.javahl",1415253997120
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.5,"org.tigris.subversion.clientadapter.svnkit",1415253997120
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1415253997198
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1415253997198
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1415253997213
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1415254000427
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1415254000442
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415254001706
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1415254001909
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1415254001924
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1415254002112
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1415254002143
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1415254002221
opened,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1415254002330
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1415254002346
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1415254002361
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1415254004032
started,bundle,com.amazonaws.eclipse.sdk.ui,2.0.0.v201206251220,"com.amazonaws.eclipse.sdk.ui",1415254004048
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415254004376
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415254014222
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415254017701
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415254069678
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1415254074333
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1415254074348
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1415254074395
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415254074863
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1415254075971
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.100.v20090525,"org.eclipse.equinox.p2.updatesite",1415254101240
started,bundle,org.eclipse.equinox.p2.publisher,1.0.0.v20090527-1812,"org.eclipse.equinox.p2.publisher",1415254101240
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.artifact.repository",1415254103215
error,log,,,"Unable to load the repository http://download.eclipse.org/tools/mylyn/update/e3.4/",1415254134651
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1415254166251
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255098962
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1415255098962
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255102895
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255115987
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255117641
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255172183
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255210784
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255656224
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255666484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255843056
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1415255845224
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1415255845224
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255848828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1415255858007
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1415255858916
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415255858963
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415255859072
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1415255859494
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1415255863238
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1415255863269
